brand_0,brand_1,brand_2,price,dcity_0,dcity_1,dcity_2,dcity_3,dcity_4,acity_0,acity_1,acity_2,acity_3,acity_4,class_type,flytime_hours,dhour,dminute,ahour,aminute,dmonth,dday
0,1,0,4311000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,8322000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,8389000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,8696000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,9199000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,9237000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,9405000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,10108000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,10318000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,10759000,0,0,0,0,1,0,1,0,0,1,1,1.3333333333333333,14,45,16,5,12,10
0,1,0,1479000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,2002000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,3209000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,3087000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,3194000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,3479000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,4697000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,4835000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,5150000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,5294000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,5547000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,0,8583000,0,0,0,0,1,0,1,0,1,0,1,1.1666666666666667,17,5,18,15,12,10
0,1,1,1331000,0,0,0,0,1,0,1,0,1,1,1,1.1666666666666667,15,10,16,20,12,10
0,1,1,1358000,0,0,0,0,1,0,1,0,1,1,1,1.1666666666666667,15,10,16,20,12,10
0,1,1,2101000,0,0,0,0,1,0,1,0,1,1,1,1.1666666666666667,15,10,16,20,12,10
0,1,1,2455000,0,0,0,0,1,0,1,0,1,1,1,1.1666666666666667,15,10,16,20,12,10
0,1,1,2650000,0,0,0,0,1,0,1,0,1,1,1,1.1666666666666667,15,10,16,20,12,10
0,1,0,5301000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,3579000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,3835000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,3843000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,3919000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,4751000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,4882000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,5646000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,7834000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,9442000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,10524000,0,0,0,0,1,0,1,1,0,0,1,6.75,14,25,21,10,12,10
0,1,0,6060000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,6060000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,7150000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,7150000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,7400000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,7400000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,10011000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,10011000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,10282000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,10282000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,10524000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,10524000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,10823000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,10823000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,10858000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,10858000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,11159000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,11159000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,11365000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,11365000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,0,11399000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,11399000,0,0,0,0,1,0,1,1,0,1,1,14.25,23,40,13,55,12,10
0,1,1,1913000,0,0,0,1,0,0,0,0,1,0,1,1.5,14,45,16,15,12,10
0,1,1,2338000,0,0,0,1,0,0,0,0,1,0,1,1.5,14,45,16,15,12,10
0,1,1,2436000,0,0,0,1,0,0,0,0,1,0,1,1.5,14,45,16,15,12,10
